[61/433] amm.util[2.13.11].resolvedCompilationIvyDeps | Downloading [1/1] artifacts (~0/0 bytes)
[61/433] amm.util[2.13.11].resolvedCompilationIvyDeps | Downloading [2/2] artifacts (~0/0 bytes)
[61/433] amm.util[2.13.11].resolvedCompilationIvyDeps | Downloading [3/3] artifacts (~0/0 bytes)
[61/433] amm.util[2.13.11].resolvedCompilationIvyDeps | Downloading [3/3] artifacts (~0/2227 bytes)
[61/433] amm.util[2.13.11].resolvedCompilationIvyDeps | Downloading [3/3] artifacts (~0/4061 bytes)
[61/433] amm.util[2.13.11].resolvedCompilationIvyDeps | Downloading [3/3] artifacts (~1371/4061 bytes)
[61/433] amm.util[2.13.11].resolvedCompilationIvyDeps | Downloading [3/3] artifacts (~2742/4061 bytes)
[61/433] amm.util[2.13.11].resolvedCompilationIvyDeps | Downloading [3/3] artifacts (~3205/4061 bytes)
[61/433] amm.util[2.13.11].resolvedCompilationIvyDeps | Downloading [3/3] artifacts (~3205/4061 bytes)
[61/433] amm.util[2.13.11].resolvedCompilationIvyDeps | Downloading [3/3] artifacts (~4061/4061 bytes)
[61/433] amm.util[2.13.11].resolvedCompilationIvyDeps | Downloading [3/3] artifacts (~4061/4061 bytes)
[61/433] amm.util[2.13.11].resolvedCompilationIvyDeps | Downloading [3/3] artifacts (~4061/6151 bytes)
[61/433] amm.util[2.13.11].resolvedCompilationIvyDeps | Downloading [3/3] artifacts (~5432/6151 bytes)
[61/433] amm.util[2.13.11].resolvedCompilationIvyDeps | Downloading [3/3] artifacts (~6151/6151 bytes)
[61/433] amm.util[2.13.11].resolvedCompilationIvyDeps | Downloading [3/3] artifacts (~6151/6151 bytes)
[61/433] amm.util[2.13.11].resolvedCompilationIvyDeps | Downloading [4/4] artifacts (~6151/6151 bytes)
[61/433] amm.util[2.13.11].resolvedCompilationIvyDeps | Downloading [4/4] artifacts (~6151/7654 bytes)
[61/433] amm.util[2.13.11].resolvedCompilationIvyDeps | Downloading [4/4] artifacts (~7522/7654 bytes)
[61/433] amm.util[2.13.11].resolvedCompilationIvyDeps | Downloading [4/4] artifacts (~7654/7654 bytes)
[61/433] amm.util[2.13.11].resolvedCompilationIvyDeps | Downloading [4/4] artifacts (~7654/7654 bytes)
