[36/435] terminal[2.13.14].scalaCompilerClasspath | Downloading [1/1] artifacts (~0/0 bytes)
[36/435] terminal[2.13.14].scalaCompilerClasspath | Downloading [2/2] artifacts (~0/0 bytes)
[36/435] terminal[2.13.14].scalaCompilerClasspath | Downloading [2/2] artifacts (~0/1832 bytes)
[36/435] terminal[2.13.14].scalaCompilerClasspath | Downloading [2/2] artifacts (~1832/1832 bytes)
[36/435] terminal[2.13.14].scalaCompilerClasspath | Downloading [2/2] artifacts (~1832/4360 bytes)
[36/435] terminal[2.13.14].scalaCompilerClasspath | Downloading [2/2] artifacts (~1832/4360 bytes)
[36/435] terminal[2.13.14].scalaCompilerClasspath | Downloading [2/2] artifacts (~3401/4360 bytes)
[36/435] terminal[2.13.14].scalaCompilerClasspath | Downloading [2/2] artifacts (~4360/4360 bytes)
[36/435] terminal[2.13.14].scalaCompilerClasspath | Downloading [2/2] artifacts (~4360/4360 bytes)
[36/435] terminal[2.13.14].scalaCompilerClasspath | Downloading [3/3] artifacts (~4360/4360 bytes)
[36/435] terminal[2.13.14].scalaCompilerClasspath | Downloading [4/4] artifacts (~4360/4360 bytes)
[36/435] terminal[2.13.14].scalaCompilerClasspath | Downloading [4/4] artifacts (~4360/6390 bytes)
[36/435] terminal[2.13.14].scalaCompilerClasspath | Downloading [4/4] artifacts (~6390/6390 bytes)
[36/435] terminal[2.13.14].scalaCompilerClasspath | Downloading [4/4] artifacts (~6390/6390 bytes)
[36/435] terminal[2.13.14].scalaCompilerClasspath | Downloading [4/4] artifacts (~6390/29379 bytes)
[36/435] terminal[2.13.14].scalaCompilerClasspath | Downloading [4/4] artifacts (~22774/29379 bytes)
[36/435] terminal[2.13.14].scalaCompilerClasspath | Downloading [4/4] artifacts (~29379/29379 bytes)
[36/435] terminal[2.13.14].scalaCompilerClasspath | Downloading [4/4] artifacts (~29379/29379 bytes)
[36/435] terminal[2.13.14].scalaCompilerClasspath | Downloading [5/5] artifacts (~29379/29379 bytes)
[36/435] terminal[2.13.14].scalaCompilerClasspath | Downloading [5/5] artifacts (~29379/61654 bytes)
[36/435] terminal[2.13.14].scalaCompilerClasspath | Downloading [5/5] artifacts (~45763/61654 bytes)
[36/435] terminal[2.13.14].scalaCompilerClasspath | Downloading [5/5] artifacts (~61654/61654 bytes)
[36/435] terminal[2.13.14].scalaCompilerClasspath | Downloading [5/5] artifacts (~61654/61654 bytes)
