[28/435] terminal[2.13.12].resolvedIvyDeps | Downloading [1/1] artifacts (~0/0 bytes)
[28/435] terminal[2.13.12].resolvedIvyDeps | Downloading [2/2] artifacts (~0/0 bytes)
[28/435] terminal[2.13.12].resolvedIvyDeps | Downloading [3/3] artifacts (~0/0 bytes)
[28/435] terminal[2.13.12].resolvedIvyDeps | Downloading [3/3] artifacts (~0/1620 bytes)
[28/435] terminal[2.13.12].resolvedIvyDeps | Downloading [3/3] artifacts (~1620/1620 bytes)
[28/435] terminal[2.13.12].resolvedIvyDeps | Downloading [3/3] artifacts (~1620/1620 bytes)
[28/435] terminal[2.13.12].resolvedIvyDeps | Downloading [3/3] artifacts (~1620/3528 bytes)
[28/435] terminal[2.13.12].resolvedIvyDeps | Downloading [3/3] artifacts (~3528/3528 bytes)
[28/435] terminal[2.13.12].resolvedIvyDeps | Downloading [3/3] artifacts (~3528/5209 bytes)
[28/435] terminal[2.13.12].resolvedIvyDeps | Downloading [3/3] artifacts (~5209/5209 bytes)
[28/435] terminal[2.13.12].resolvedIvyDeps | Downloading [3/3] artifacts (~5209/5209 bytes)
[28/435] terminal[2.13.12].resolvedIvyDeps | Downloading [3/3] artifacts (~5209/5209 bytes)
