[307/435] amm.compiler[2.13.14].resolvedIvyDeps | Downloading [1/1] artifacts (~0/0 bytes)
[307/435] amm.compiler[2.13.14].resolvedIvyDeps | Downloading [2/2] artifacts (~0/0 bytes)
[307/435] amm.compiler[2.13.14].resolvedIvyDeps | Downloading [3/3] artifacts (~0/0 bytes)
[307/435] amm.compiler[2.13.14].resolvedIvyDeps | Downloading [3/3] artifacts (~0/1647 bytes)
[307/435] amm.compiler[2.13.14].resolvedIvyDeps | Downloading [3/3] artifacts (~1647/1647 bytes)
[307/435] amm.compiler[2.13.14].resolvedIvyDeps | Downloading [3/3] artifacts (~1647/9235 bytes)
[307/435] amm.compiler[2.13.14].resolvedIvyDeps | Downloading [3/3] artifacts (~1647/19069 bytes)
[307/435] amm.compiler[2.13.14].resolvedIvyDeps | Downloading [3/3] artifacts (~1647/19069 bytes)
[307/435] amm.compiler[2.13.14].resolvedIvyDeps | Downloading [3/3] artifacts (~11481/19069 bytes)
[307/435] amm.compiler[2.13.14].resolvedIvyDeps | Downloading [3/3] artifacts (~19069/19069 bytes)
[307/435] amm.compiler[2.13.14].resolvedIvyDeps | Downloading [3/3] artifacts (~19069/19069 bytes)
[307/435] amm.compiler[2.13.14].resolvedIvyDeps | Downloading [3/3] artifacts (~19069/19069 bytes)
[307/435] amm.compiler[2.13.14].resolvedIvyDeps | Downloading [4/4] artifacts (~19069/19069 bytes)
[307/435] amm.compiler[2.13.14].resolvedIvyDeps | Downloading [4/4] artifacts (~19069/28502 bytes)
[307/435] amm.compiler[2.13.14].resolvedIvyDeps | Downloading [4/4] artifacts (~28502/28502 bytes)
[307/435] amm.compiler[2.13.14].resolvedIvyDeps | Downloading [4/4] artifacts (~28502/28502 bytes)
