[35/431] terminal[2.13.9].scalaCompilerClasspath | Downloading [1/1] artifacts (~0/0 bytes)
[35/431] terminal[2.13.9].scalaCompilerClasspath | Downloading [1/1] artifacts (~0/2523 bytes)
[35/431] terminal[2.13.9].scalaCompilerClasspath | Downloading [1/1] artifacts (~2523/2523 bytes)
[35/431] terminal[2.13.9].scalaCompilerClasspath | Downloading [1/1] artifacts (~2523/2523 bytes)
[35/431] terminal[2.13.9].scalaCompilerClasspath | Downloading [2/2] artifacts (~2523/2523 bytes)
[35/431] terminal[2.13.9].scalaCompilerClasspath | Downloading [3/3] artifacts (~2523/2523 bytes)
[35/431] terminal[2.13.9].scalaCompilerClasspath | Downloading [3/3] artifacts (~2523/5188 bytes)
[35/431] terminal[2.13.9].scalaCompilerClasspath | Downloading [3/3] artifacts (~5188/5188 bytes)
[35/431] terminal[2.13.9].scalaCompilerClasspath | Downloading [3/3] artifacts (~5188/5188 bytes)
[35/431] terminal[2.13.9].scalaCompilerClasspath | Downloading [3/3] artifacts (~5188/7217 bytes)
[35/431] terminal[2.13.9].scalaCompilerClasspath | Downloading [3/3] artifacts (~7217/7217 bytes)
[35/431] terminal[2.13.9].scalaCompilerClasspath | Downloading [3/3] artifacts (~7217/7217 bytes)
[35/431] terminal[2.13.9].scalaCompilerClasspath | Downloading [4/4] artifacts (~7217/7217 bytes)
[35/431] terminal[2.13.9].scalaCompilerClasspath | Downloading [4/4] artifacts (~7217/17311 bytes)
[35/431] terminal[2.13.9].scalaCompilerClasspath | Downloading [4/4] artifacts (~17311/17311 bytes)
[35/431] terminal[2.13.9].scalaCompilerClasspath | Downloading [4/4] artifacts (~17311/17311 bytes)
