[307/435] amm.compiler[2.13.13].resolvedIvyDeps | Downloading [1/1] artifacts (~0/0 bytes)
[307/435] amm.compiler[2.13.13].resolvedIvyDeps | Downloading [2/2] artifacts (~0/0 bytes)
[307/435] amm.compiler[2.13.13].resolvedIvyDeps | Downloading [3/3] artifacts (~0/0 bytes)
[307/435] amm.compiler[2.13.13].resolvedIvyDeps | Downloading [3/3] artifacts (~0/1647 bytes)
[307/435] amm.compiler[2.13.13].resolvedIvyDeps | Downloading [3/3] artifacts (~1647/1647 bytes)
[307/435] amm.compiler[2.13.13].resolvedIvyDeps | Downloading [3/3] artifacts (~1647/1647 bytes)
[307/435] amm.compiler[2.13.13].resolvedIvyDeps | Downloading [3/3] artifacts (~1647/11481 bytes)
[307/435] amm.compiler[2.13.13].resolvedIvyDeps | Downloading [3/3] artifacts (~11481/11481 bytes)
[307/435] amm.compiler[2.13.13].resolvedIvyDeps | Downloading [3/3] artifacts (~11481/11481 bytes)
[307/435] amm.compiler[2.13.13].resolvedIvyDeps | Downloading [3/3] artifacts (~11481/18509 bytes)
[307/435] amm.compiler[2.13.13].resolvedIvyDeps | Downloading [3/3] artifacts (~18509/18509 bytes)
[307/435] amm.compiler[2.13.13].resolvedIvyDeps | Downloading [3/3] artifacts (~18509/18509 bytes)
[307/435] amm.compiler[2.13.13].resolvedIvyDeps | Downloading [4/4] artifacts (~18509/18509 bytes)
[307/435] amm.compiler[2.13.13].resolvedIvyDeps | Downloading [4/4] artifacts (~18509/27930 bytes)
[307/435] amm.compiler[2.13.13].resolvedIvyDeps | Downloading [4/4] artifacts (~27930/27930 bytes)
[307/435] amm.compiler[2.13.13].resolvedIvyDeps | Downloading [4/4] artifacts (~27930/27930 bytes)
