[62/435] amm.util[2.13.13].resolvedIvyDeps | Downloading [1/1] artifacts (~0/0 bytes)
[62/435] amm.util[2.13.13].resolvedIvyDeps | Downloading [2/2] artifacts (~0/0 bytes)
[62/435] amm.util[2.13.13].resolvedIvyDeps | Downloading [3/3] artifacts (~0/0 bytes)
[62/435] amm.util[2.13.13].resolvedIvyDeps | Downloading [4/4] artifacts (~0/0 bytes)
[62/435] amm.util[2.13.13].resolvedIvyDeps | Downloading [4/4] artifacts (~0/2090 bytes)
[62/435] amm.util[2.13.13].resolvedIvyDeps | Downloading [4/4] artifacts (~1371/2090 bytes)
[62/435] amm.util[2.13.13].resolvedIvyDeps | Downloading [4/4] artifacts (~2090/2090 bytes)
[62/435] amm.util[2.13.13].resolvedIvyDeps | Downloading [4/4] artifacts (~2090/2090 bytes)
[62/435] amm.util[2.13.13].resolvedIvyDeps | Downloading [4/4] artifacts (~2090/4065 bytes)
[62/435] amm.util[2.13.13].resolvedIvyDeps | Downloading [4/4] artifacts (~3461/4065 bytes)
[62/435] amm.util[2.13.13].resolvedIvyDeps | Downloading [4/4] artifacts (~3461/5899 bytes)
[62/435] amm.util[2.13.13].resolvedIvyDeps | Downloading [4/4] artifacts (~3461/8126 bytes)
[62/435] amm.util[2.13.13].resolvedIvyDeps | Downloading [4/4] artifacts (~4832/8126 bytes)
[62/435] amm.util[2.13.13].resolvedIvyDeps | Downloading [4/4] artifacts (~5295/8126 bytes)
[62/435] amm.util[2.13.13].resolvedIvyDeps | Downloading [4/4] artifacts (~6666/8126 bytes)
[62/435] amm.util[2.13.13].resolvedIvyDeps | Downloading [4/4] artifacts (~7522/8126 bytes)
[62/435] amm.util[2.13.13].resolvedIvyDeps | Downloading [4/4] artifacts (~7522/8126 bytes)
[62/435] amm.util[2.13.13].resolvedIvyDeps | Downloading [4/4] artifacts (~7522/8126 bytes)
[62/435] amm.util[2.13.13].resolvedIvyDeps | Downloading [4/4] artifacts (~8126/8126 bytes)
[62/435] amm.util[2.13.13].resolvedIvyDeps | Downloading [4/4] artifacts (~8126/8126 bytes)
[62/435] amm.util[2.13.13].resolvedIvyDeps | Downloading [5/5] artifacts (~8126/8126 bytes)
[62/435] amm.util[2.13.13].resolvedIvyDeps | Downloading [6/6] artifacts (~8126/8126 bytes)
[62/435] amm.util[2.13.13].resolvedIvyDeps | Downloading [6/6] artifacts (~8126/9629 bytes)
[62/435] amm.util[2.13.13].resolvedIvyDeps | Downloading [6/6] artifacts (~9497/9629 bytes)
[62/435] amm.util[2.13.13].resolvedIvyDeps | Downloading [6/6] artifacts (~9629/9629 bytes)
[62/435] amm.util[2.13.13].resolvedIvyDeps | Downloading [6/6] artifacts (~9629/11537 bytes)
[62/435] amm.util[2.13.13].resolvedIvyDeps | Downloading [6/6] artifacts (~11000/11537 bytes)
[62/435] amm.util[2.13.13].resolvedIvyDeps | Downloading [6/6] artifacts (~11537/11537 bytes)
[62/435] amm.util[2.13.13].resolvedIvyDeps | Downloading [6/6] artifacts (~11537/11537 bytes)
[62/435] amm.util[2.13.13].resolvedIvyDeps | Downloading [6/6] artifacts (~11537/11537 bytes)
