[61/433] amm.util[2.13.12].resolvedCompilationIvyDeps | Downloading [1/1] artifacts (~0/0 bytes)
[61/433] amm.util[2.13.12].resolvedCompilationIvyDeps | Downloading [2/2] artifacts (~0/0 bytes)
[61/433] amm.util[2.13.12].resolvedCompilationIvyDeps | Downloading [3/3] artifacts (~0/0 bytes)
[61/433] amm.util[2.13.12].resolvedCompilationIvyDeps | Downloading [3/3] artifacts (~0/2090 bytes)
[61/433] amm.util[2.13.12].resolvedCompilationIvyDeps | Downloading [3/3] artifacts (~1371/2090 bytes)
[61/433] amm.util[2.13.12].resolvedCompilationIvyDeps | Downloading [3/3] artifacts (~1371/3924 bytes)
[61/433] amm.util[2.13.12].resolvedCompilationIvyDeps | Downloading [3/3] artifacts (~2090/3924 bytes)
[61/433] amm.util[2.13.12].resolvedCompilationIvyDeps | Downloading [3/3] artifacts (~3461/3924 bytes)
[61/433] amm.util[2.13.12].resolvedCompilationIvyDeps | Downloading [3/3] artifacts (~3461/3924 bytes)
[61/433] amm.util[2.13.12].resolvedCompilationIvyDeps | Downloading [3/3] artifacts (~3924/3924 bytes)
[61/433] amm.util[2.13.12].resolvedCompilationIvyDeps | Downloading [3/3] artifacts (~3924/3924 bytes)
[61/433] amm.util[2.13.12].resolvedCompilationIvyDeps | Downloading [3/3] artifacts (~3924/6151 bytes)
[61/433] amm.util[2.13.12].resolvedCompilationIvyDeps | Downloading [3/3] artifacts (~5295/6151 bytes)
[61/433] amm.util[2.13.12].resolvedCompilationIvyDeps | Downloading [3/3] artifacts (~6151/6151 bytes)
[61/433] amm.util[2.13.12].resolvedCompilationIvyDeps | Downloading [3/3] artifacts (~6151/6151 bytes)
[61/433] amm.util[2.13.12].resolvedCompilationIvyDeps | Downloading [4/4] artifacts (~6151/6151 bytes)
[61/433] amm.util[2.13.12].resolvedCompilationIvyDeps | Downloading [4/4] artifacts (~6151/7654 bytes)
[61/433] amm.util[2.13.12].resolvedCompilationIvyDeps | Downloading [4/4] artifacts (~7522/7654 bytes)
[61/433] amm.util[2.13.12].resolvedCompilationIvyDeps | Downloading [4/4] artifacts (~7654/7654 bytes)
[61/433] amm.util[2.13.12].resolvedCompilationIvyDeps | Downloading [4/4] artifacts (~7654/7654 bytes)
