[36/435] terminal[2.13.13].scalaCompilerClasspath | Downloading [1/1] artifacts (~0/0 bytes)
[36/435] terminal[2.13.13].scalaCompilerClasspath | Downloading [2/2] artifacts (~0/0 bytes)
[36/435] terminal[2.13.13].scalaCompilerClasspath | Downloading [2/2] artifacts (~0/1832 bytes)
[36/435] terminal[2.13.13].scalaCompilerClasspath | Downloading [2/2] artifacts (~1832/1832 bytes)
[36/435] terminal[2.13.13].scalaCompilerClasspath | Downloading [2/2] artifacts (~1832/1832 bytes)
[36/435] terminal[2.13.13].scalaCompilerClasspath | Downloading [2/2] artifacts (~1832/4360 bytes)
[36/435] terminal[2.13.13].scalaCompilerClasspath | Downloading [2/2] artifacts (~4360/4360 bytes)
[36/435] terminal[2.13.13].scalaCompilerClasspath | Downloading [2/2] artifacts (~4360/4360 bytes)
[36/435] terminal[2.13.13].scalaCompilerClasspath | Downloading [3/3] artifacts (~4360/4360 bytes)
[36/435] terminal[2.13.13].scalaCompilerClasspath | Downloading [3/3] artifacts (~4360/23732 bytes)
[36/435] terminal[2.13.13].scalaCompilerClasspath | Downloading [3/3] artifacts (~20182/23732 bytes)
[36/435] terminal[2.13.13].scalaCompilerClasspath | Downloading [3/3] artifacts (~23732/23732 bytes)
[36/435] terminal[2.13.13].scalaCompilerClasspath | Downloading [3/3] artifacts (~23732/23732 bytes)
[36/435] terminal[2.13.13].scalaCompilerClasspath | Downloading [4/4] artifacts (~23732/23732 bytes)
[36/435] terminal[2.13.13].scalaCompilerClasspath | Downloading [4/4] artifacts (~23732/56140 bytes)
[36/435] terminal[2.13.13].scalaCompilerClasspath | Downloading [4/4] artifacts (~40116/56140 bytes)
[36/435] terminal[2.13.13].scalaCompilerClasspath | Downloading [4/4] artifacts (~56140/56140 bytes)
[36/435] terminal[2.13.13].scalaCompilerClasspath | Downloading [4/4] artifacts (~56140/56140 bytes)
