[28/433] terminal[2.13.10].resolvedCompilationIvyDeps | Downloading [1/1] artifacts (~0/0 bytes)
[28/433] terminal[2.13.10].resolvedCompilationIvyDeps | Downloading [2/2] artifacts (~0/0 bytes)
[28/433] terminal[2.13.10].resolvedCompilationIvyDeps | Downloading [3/3] artifacts (~0/0 bytes)
[28/433] terminal[2.13.10].resolvedCompilationIvyDeps | Downloading [4/4] artifacts (~0/0 bytes)
[28/433] terminal[2.13.10].resolvedCompilationIvyDeps | Downloading [4/4] artifacts (~0/1578 bytes)
[28/433] terminal[2.13.10].resolvedCompilationIvyDeps | Downloading [4/4] artifacts (~0/3410 bytes)
[28/433] terminal[2.13.10].resolvedCompilationIvyDeps | Downloading [4/4] artifacts (~1578/3410 bytes)
[28/433] terminal[2.13.10].resolvedCompilationIvyDeps | Downloading [4/4] artifacts (~1578/3410 bytes)
[28/433] terminal[2.13.10].resolvedCompilationIvyDeps | Downloading [4/4] artifacts (~3410/3410 bytes)
[28/433] terminal[2.13.10].resolvedCompilationIvyDeps | Downloading [4/4] artifacts (~3410/5008 bytes)
[28/433] terminal[2.13.10].resolvedCompilationIvyDeps | Downloading [4/4] artifacts (~3410/5008 bytes)
[28/433] terminal[2.13.10].resolvedCompilationIvyDeps | Downloading [4/4] artifacts (~3410/6628 bytes)
[28/433] terminal[2.13.10].resolvedCompilationIvyDeps | Downloading [4/4] artifacts (~5008/6628 bytes)
[28/433] terminal[2.13.10].resolvedCompilationIvyDeps | Downloading [4/4] artifacts (~6628/6628 bytes)
[28/433] terminal[2.13.10].resolvedCompilationIvyDeps | Downloading [4/4] artifacts (~6628/6628 bytes)
[28/433] terminal[2.13.10].resolvedCompilationIvyDeps | Downloading [4/4] artifacts (~6628/6628 bytes)
[28/433] terminal[2.13.10].resolvedCompilationIvyDeps | Downloading [5/5] artifacts (~6628/6628 bytes)
[28/433] terminal[2.13.10].resolvedCompilationIvyDeps | Downloading [5/5] artifacts (~6628/8536 bytes)
[28/433] terminal[2.13.10].resolvedCompilationIvyDeps | Downloading [5/5] artifacts (~8536/8536 bytes)
[28/433] terminal[2.13.10].resolvedCompilationIvyDeps | Downloading [5/5] artifacts (~8536/8536 bytes)
