[27/431] terminal[2.13.10].resolvedIvyDeps | Downloading [1/1] artifacts (~0/0 bytes)
[27/431] terminal[2.13.10].resolvedIvyDeps | Downloading [2/2] artifacts (~0/0 bytes)
[27/431] terminal[2.13.10].resolvedIvyDeps | Downloading [3/3] artifacts (~0/0 bytes)
[27/431] terminal[2.13.10].resolvedIvyDeps | Downloading [3/3] artifacts (~0/1295 bytes)
[27/431] terminal[2.13.10].resolvedIvyDeps | Downloading [3/3] artifacts (~1295/1295 bytes)
[27/431] terminal[2.13.10].resolvedIvyDeps | Downloading [4/4] artifacts (~1295/1295 bytes)
[27/431] terminal[2.13.10].resolvedIvyDeps | Downloading [4/4] artifacts (~1295/3127 bytes)
[27/431] terminal[2.13.10].resolvedIvyDeps | Downloading [4/4] artifacts (~3127/3127 bytes)
[27/431] terminal[2.13.10].resolvedIvyDeps | Downloading [4/4] artifacts (~3127/3127 bytes)
[27/431] terminal[2.13.10].resolvedIvyDeps | Downloading [4/4] artifacts (~3127/4725 bytes)
[27/431] terminal[2.13.10].resolvedIvyDeps | Downloading [4/4] artifacts (~4725/4725 bytes)
[27/431] terminal[2.13.10].resolvedIvyDeps | Downloading [4/4] artifacts (~4725/4725 bytes)
[27/431] terminal[2.13.10].resolvedIvyDeps | Downloading [4/4] artifacts (~4725/4725 bytes)
[27/431] terminal[2.13.10].resolvedIvyDeps | Downloading [4/4] artifacts (~4725/6303 bytes)
[27/431] terminal[2.13.10].resolvedIvyDeps | Downloading [4/4] artifacts (~6303/6303 bytes)
[27/431] terminal[2.13.10].resolvedIvyDeps | Downloading [4/4] artifacts (~6303/6303 bytes)
