[36/433] terminal[2.13.11].scalaCompilerClasspath | Downloading [1/1] artifacts (~0/0 bytes)
[36/433] terminal[2.13.11].scalaCompilerClasspath | Downloading [1/1] artifacts (~0/2528 bytes)
[36/433] terminal[2.13.11].scalaCompilerClasspath | Downloading [1/1] artifacts (~2528/2528 bytes)
[36/433] terminal[2.13.11].scalaCompilerClasspath | Downloading [1/1] artifacts (~2528/2528 bytes)
[36/433] terminal[2.13.11].scalaCompilerClasspath | Downloading [2/2] artifacts (~2528/2528 bytes)
[36/433] terminal[2.13.11].scalaCompilerClasspath | Downloading [3/3] artifacts (~2528/2528 bytes)
[36/433] terminal[2.13.11].scalaCompilerClasspath | Downloading [4/4] artifacts (~2528/2528 bytes)
[36/433] terminal[2.13.11].scalaCompilerClasspath | Downloading [4/4] artifacts (~2528/20234 bytes)
[36/433] terminal[2.13.11].scalaCompilerClasspath | Downloading [4/4] artifacts (~18912/20234 bytes)
[36/433] terminal[2.13.11].scalaCompilerClasspath | Downloading [4/4] artifacts (~20234/20234 bytes)
[36/433] terminal[2.13.11].scalaCompilerClasspath | Downloading [4/4] artifacts (~20234/20234 bytes)
[36/433] terminal[2.13.11].scalaCompilerClasspath | Downloading [4/4] artifacts (~20234/22264 bytes)
[36/433] terminal[2.13.11].scalaCompilerClasspath | Downloading [4/4] artifacts (~20234/24929 bytes)
[36/433] terminal[2.13.11].scalaCompilerClasspath | Downloading [4/4] artifacts (~22264/24929 bytes)
[36/433] terminal[2.13.11].scalaCompilerClasspath | Downloading [4/4] artifacts (~24929/24929 bytes)
[36/433] terminal[2.13.11].scalaCompilerClasspath | Downloading [4/4] artifacts (~24929/24929 bytes)
[36/433] terminal[2.13.11].scalaCompilerClasspath | Downloading [4/4] artifacts (~24929/24929 bytes)
[36/433] terminal[2.13.11].scalaCompilerClasspath | Downloading [5/5] artifacts (~24929/24929 bytes)
[36/433] terminal[2.13.11].scalaCompilerClasspath | Downloading [6/6] artifacts (~24929/24929 bytes)
[36/433] terminal[2.13.11].scalaCompilerClasspath | Downloading [6/6] artifacts (~24929/35023 bytes)
[36/433] terminal[2.13.11].scalaCompilerClasspath | Downloading [6/6] artifacts (~24929/62676 bytes)
[36/433] terminal[2.13.11].scalaCompilerClasspath | Downloading [6/6] artifacts (~35023/62676 bytes)
[36/433] terminal[2.13.11].scalaCompilerClasspath | Downloading [6/6] artifacts (~51407/62676 bytes)
[36/433] terminal[2.13.11].scalaCompilerClasspath | Downloading [6/6] artifacts (~62676/62676 bytes)
[36/433] terminal[2.13.11].scalaCompilerClasspath | Downloading [6/6] artifacts (~62676/62676 bytes)
[36/433] terminal[2.13.11].scalaCompilerClasspath | Downloading [6/6] artifacts (~62676/62676 bytes)
